prompt,model_answer,predict_proba
Чье изображение было помещено на американский цент в 1909 году к столетию со дня рождения президента?,Изображение американского президента Авраама Линкольна было помещено на американский цент в 1909 году к столетию со дня рождения президента.,
"Какую актрису изображал плакат, который Энди Дюфресн заказал Рэду через год после получения геологического молотка в фильме «Побег из Шоушенка»?","В фильме «Побег из Шоушенка», который был снят по мотивам повести Стивена Кинга «Рита Хейворт и спасение из Шоушенка», Энди Дюфрейн заказывает плакат с изображением актрисы Риты Хейворт для своего сокамерника Реда. Этот жест символизирует надежду и мечту, которые Энди дарит Реду, помогая ему поверить в возможность свободы и новой жизни за стенами тюрьмы.",
Какую номинацию получил Мартин Рашент на BRIT Awards благодаря успеху The Human League?,"Мартин Рашент был номинирован на премию BRIT Awards в категории «Лучший британский продюсер» за альбом группы The Human League, который стал успешным после выхода альбома ""Dare"" в 1981 году.",
"Какой термин иногда применяется для обозначения дискриминации мужчин и антимужских предубеждений, однако многие гендерные исследователи считают его использование некорректным?","Термин «мизандрия» иногда используется для обозначения дискриминации мужчин и антимужских предубеждений. Однако многие гендерные исследователи считают его использование некорректным, так как оно может способствовать распространению стереотипов о мужчинах и игнорировать проблемы, с которыми сталкиваются женщины в обществе.",
Какую сеть (SL policy network) вместо улучшенной стратегической сети решили использовать авторы AlphaGo на этапе симуляции до конца игры без ветвления?,Авторы AlphaGo на этапе симуляции до конца игры без ветвления решили использовать сеть стратегического уровня (SL policy network).,
Какой диагноз был поставлен Дэвиду Боуи в середине 2014 года?,В середине 2014 года у Дэвида Боуи была диагностирована рак печени. Он скончался от этой болезни 10 января 2016 года.,
В каком году в аэропорту Дортмунда приземлился цеппелин LZ 127 «Граф Цеппелин»?,Цеппелин LZ 127 «Граф Цеппелин» впервые приземлился в аэропорту Дортмунда в **1930 году**.,
Какой белок ретинобластомы связывается с нуклеофозмином (NPM1)?,"Ретинобластома является редкой злокачественной опухолью сетчатки глаза у детей и связана с мутацией гена ретинобластомы 1 (RB1). Нуклеофозмин (NPM1) - это ядерный фосфопротеин, который участвует в регуляции клеточного цикла и может взаимодействовать с различными белками, включая белки, связанные с опухолевым процессом.

В контексте ретинобластомы, основным белком, который связывается с нуклеофозмином (NPM1), является **ретинобластома-связанный белок (pRb)**. Этот белок играет ключевую роль в регуляции клеточного цикла и подавлении пролиферации клеток. В случае ретинобластомы, мутации в гене RB1 приводят к нарушению функции белка pRb, что способствует развитию опухоли.",
Какая книга по армянской палеографии была издана в 1987 году Степаном Мелик-Бахшяном?,В 1987 году Степан Мелик-Бахшян издал книгу под названием «Армянская палеография».,
Какую проблему фискальной политики экономисты называют эффектом вытеснения?,"## Эффект вытеснения в фискальной политике

**Эффект вытеснения** — это одна из ключевых проблем, с которой сталкиваются государственные органы при проведении *фискальной* (бюджетно-налоговой) политики. Суть этого эффекта заключается в том, что увеличение государственных расходов или снижение налогов приводит к росту процентных ставок и, как следствие, к сокращению частных инвестиций.

---

### Как возникает эффект вытеснения?

1. **Увеличение государственных расходов**: 
   - Когда государство увеличивает свои расходы (например, на строительство дорог, социальные программы), оно вынуждено финансировать эти траты за счёт займов.
   
2. **Рост спроса на кредиты**:
   - Для финансирования дефицита бюджета правительство начинает занимать деньги у населения и фирм через выпуск облигаций.
   - Это увеличивает спрос на кредитные ресурсы в экономике.

3. **Повышение процентных ставок**:
   - Рост спроса на кредиты ведёт к увеличению процентных ставок по займам.
   - Фирмы и домохозяйства начинают платить больше за получение кредитов для своих инвестиционных проектов.

4. **Сокращение частных инвестиций**:
   - Более высокие процентные ставки делают инвестиции менее привлекательными.
   - Частный сектор снижает объёмы капиталовложений, так как стоимость заимствований",
Какие два самолёта нанесли первый удар по японскому авианосцу «Дзуйхо» в ходе боя у островов Санта-Крус?,В бою у островов Санта-Крус 26 октября 1942 года первый удар по японскому авианосцу «Дзуйхо» нанесли самолёты с американских авианосцев «Энтерпрайз» и «Хорнет».,
В каком году на территориях бывшего нацистской Германии и его сателлитов возникла необходимость в местных выпусках марок?,"После окончания Второй мировой войны в 1945 году территории бывшей нацистской Германии и её сателлитов оказались разделены между победителями — СССР, США, Великобританией и Францией. В результате этого раздела возникли новые административные единицы, каждая из которых нуждалась в собственных почтовых услугах. 

Например, после разделения Германии на четыре зоны оккупации были созданы отдельные почтовые службы для каждой из них. Аналогичная ситуация наблюдалась и в других странах, таких как Австрия, которая также была разделена на оккупационные зоны. Эти местные выпуски марок стали необходимыми для обеспечения эффективной коммуникации внутри этих новых административных единиц.",
"Кто, согласно заключению комиссии Королевского общества по итогам спора о приоритете в математическом анализе, был признан первым изобретателем?","Согласно заключению комиссии Королевского общества по итогам спора о приоритете в математическом анализе, Исаак Ньютон был признан первым изобретателем.",
Какой рейтинг на сайте Rotten Tomatoes получил эпизод «Славная миссия» из первого сезона сериала «Локи»?,Эпизод «Славная миссия» из первого сезона сериала «Локи» имеет рейтинг 97% на сайте Rotten Tomatoes.,
Кто в 1984 году обнаружил полную редакцию романа Уильяма Берроуза «Интерзона» в архиве Аллена Гинзберга при Колумбийском университете?,В 1984 году полный текст романа Уильяма Берроуза «Интерзон» был обнаружен и опубликован Майклом Катфордом (Michael Catford).,
Кого Черкес Хасан-бей убил в ночь с 15 на 16 июня 1876 года в особняке Мидхата-паши в Стамбуле?,В ночь с 15 на 16 июня 1876 года в особняке Мидхата-паши в Стамбуле был убит министр иностранных дел Османской империи Шукри-паша.,
Каким диакритическим знаком в научных статьях обычно обозначается высокий тон?,В научных статьях для обозначения высокого тона используется знак акута (´).,
От какого слова происходит русское название растения «очанка»?,"Русское название растения «очанка» происходит от слова «очи», что в переводе с русского языка означает «глаза». Это связано с тем, что очанка традиционно используется для лечения глазных заболеваний и улучшения зрения.",
"Какой архитектурный стиль в Париже, появившийся во второй половине XVII века в сооружении Лувра, почти целое столетие сосуществовал с архитектурой барокко?","В Париже во второй половине XVII века появился архитектурный стиль, который почти целое столетие сосуществовал с архитектурой барокко. Этот стиль называется классицизм. Он характеризуется строгими формами, симметрией и использованием классических элементов архитектуры, таких как колонны и фронтоны.",
"В каком году император Николай II подтвердил указ Александра II о государственных цветах России: чёрном, жёлтом и белом?",Император Николай II подтвердил указ Александра II о государственных цветах России в 1896 году.,
"Какой роман Стивена Кинга Стэнли Кубрик выбрал для экранизации после того, как швырял другие книги в стену?","После того, как Стивен Кинг швырнул книгу «Сияние» в стену, Стэнли Кубрик решил выбрать её для экранизации.",
"Какой лозунг провозгласил император Педру I 7 сентября 1822 года, объявляя о разрыве уз с Португалией и клянясь обеспечить независимость Бразилии?","Лозунг, который провозгласил император Педру I 7 сентября 1822 года, был «Independência ou Morte!» («Независимость или смерть!»)",
"В каком году Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия, подтвердив гипотезу Артура Эддингтона о «каппа-механизме»?","Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия в 1952 году, что подтвердило гипотезу Артура Эддингтона о «каппа-механизме».",
"Кто был главным конструктором ОКБ-586, выступившим в 1956 году с инициативой создания МБР на высококипящих компонентах топлива?","Главным конструктором ОКБ-586, который выступил в 1956 году с инициативой создания межконтинентальной баллистической ракеты (МБР) на высококипящих компонентах топлива, был Михаил Кузьмич Янгель.",
Кто убедила царя Пирра напасть на Спарту в 272 году?,"В 272 году до н. э. царь Пирр, который уже воевал с Римом и был известен своими победами, решил вторгнуться в Спарту. Однако его решение было не самостоятельным, а скорее результатом давления со стороны других греческих городов и политических деятелей того времени.

Пирр был приглашен в Грецию по просьбе некоторых городов, которые надеялись получить его помощь против Македонии под управлением Антигонидов. Эти города, включая Аркадию и Элиду, были обеспокоены растущей мощью Македонии и искали союзников для защиты своих интересов.

Однако наиболее важным фактором, повлиявшим на решение Пирра, была поддержка от Клеонима, одного из лидеров спартанцев. Клеоним стремился укрепить свою власть внутри Спарты и видел в Пирре потенциального союзника, способного помочь ему в достижении этой цели. Он убедил Пирра, что нападение на Спарту будет выгодным шагом, так как оно позволит ему завоевать уважение и поддержку среди других греческих государств.

Таким образом, хотя Пирр сам принял решение о нападении на Спарту, он был убежден в необходимости этого действия благодаря влиянию Клеонима и других политических деятелей, которые видели в этом шаге возможность укрепить свои позиции в регионе.",
В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с кем?,В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с Жаном Лорреном.,
Сколько афинян погибло в битве при Марафоне согласно Геродоту?,"Согласно Геродоту, в битве при Марафоне погибло 192 афинянина и 59 платейцев.",
"Кто вёл войско бактрийцев, согдиан и индов на левом южном фланге персидской армии в битве при Гавгамелах 1 октября 331 года?","В битве при Гавгамелах 1 октября 331 года войско бактрийцев, согдиан и индов на левом южном фланге персидской армии возглавлял сатрап Бактрии Бесс.",
"Какой генерал-майор в марте 2020 года заявил, что на восстановление репутации Полка после доказанных военных преступлений потребуется не менее десяти лет?","В марте 2020 года генерал-майор Сергей Качковский заявил, что на восстановление репутации полка «Азов» после доказанных военных преступлений потребуется не менее десяти лет.",
Кого Маргарет Смит обыграла в четвертьфинале чемпионата Австралии среди взрослых в 1960 году?,В четвертьфинале чемпионата Австралии среди взрослых в 1960 году Маргарет Смит обыграла **Мэри Фишер**.,
В каком году в Японии на платформе PlayStation Portable была выпущена ролевая игра Fate/Extra?,Ролевая игра Fate/Extra для платформы PlayStation Portable была выпущена в 2010 году.,
Какой гербарий включал не менее 25 семейств эндемиков Нового Южного Уэльса в ходе Первой русской антарктической экспедиции?,"В ходе Первой русской антарктической экспедиции на судне «Винди» был собран гербарий, который включал не менее 25 семейств эндемиков Нового Южного Уэльса.",
"Как назывался суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года?","Суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года, назывался **«судом тень»** или **«судом мумии»**.",
"Какой режиссёрский фильм 1947 года стал первым в череде работ Жана-Пьера Мельвиля, основанных на литературном материале?","Фильм «Молчание моря» («Le Silence de la mer») режиссёра Жана-Пьера Мельвиля был выпущен в 1947 году и стал первым в его карьере, основанным на литературном материале. Этот фильм является экранизацией одноимённого романа Жака Превера.",
"Какую основную причину совершения убийств в Мюнхене в 2016 году назвали в докладе Министерства Внутренних дел Баварии, опубликованном в апреле 2017 года?","В докладе Министерства внутренних дел Баварии, опубликованном в апреле 2017 года, основной причиной убийств в Мюнхене в 2016 году была названа личная месть.",
"Какой энциклике, посвящённой экуменическому диалогу, впервые в истории папства выпустил Иоанн Павел II в 1995 году?",Энциклика «Ut unum sint» («Да будем едиными») была выпущена Иоанном Павлом II в 1995 году и посвящена экуменическому диалогу.,
"В каком году Томас, 8-й барон де Клиффорд, начал строительство в замке Скиптон?","Томас, 8-й барон де Клиффорд, начал строительство замка Скиптон примерно в **1309 году**.",
"Кто после разгрома Мунузы решил расправиться с Эдом Аквитанским и возглавил армию, осадившую Бордо?","После разгрома Мунузы в 732 году армией франков под предводительством Карла Мартелла, который стал известен как Карл Великий, новый лидер арабского войска, по имени Абд аль-Рахман, решил отомстить за поражение и начать новую кампанию против христианских земель. Он собрал большую армию и двинулся на юг, чтобы атаковать город Бордо, столицу Аквитании. Однако его планы были нарушены, когда он был убит во время битвы при Пуатье в 732 году. После этого сражения франки смогли остановить продвижение арабов и защитить свои земли.",
Какое решение приняло руководство Daimler в ноябре 2011 года относительно бренда Maybach?,В ноябре 2011 года руководство Daimler приняло решение прекратить производство и продажу автомобилей под брендом Maybach. Это было связано с низким спросом на автомобили этого класса и необходимостью сосредоточиться на более популярных моделях Mercedes-Benz.,
"В 2003 году группа религиозных деятелей, протестуя против проекта Сэмангым, совершила марш от Сэмангыма в какой город?","Группа религиозных деятелей, протестовавших против проекта Сэмангым, совершила марш от Сэмангыма в город Сеул.",
"Кто, по утверждению турецкого историка А. Оджак, организовал инцидент Бучуктепе в марте 1446 года с целью свергнуть Мехмеда II?","По утверждению турецкого историка А. Оджака, организатором инцидента Бучуктепе в марте 1446 года с целью свержения Мехмеда II был его отец, султан Мурад II.",
Сколько мест в Московской городской думе получили кандидаты от КПРФ на выборах 2019 года?,На выборах в Московскую городскую думу в 2019 году кандидаты от КПРФ не смогли получить ни одного места.,
В каком году президент Билл Клинтон наградил Розу Паркс Президентской медалью Свободы?,Президент Билл Клинтон наградил Розу Паркс Президентской медалью свободы в 1996 году.,
"Кто сыграл роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов», поставленном для канала НТВ в 2020 году?",Роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов» на канале НТВ в 2020 году исполнил актёр **Сергей Шакуров**.,
Какой город стал столицей Урарту со времени правления царя Ишпуини?,Столицей Урарту со времени правления царя Ишпуини стал город Тушпа.,
В каком году для консолей Master System и Game Gear была выпущена видеоигра Sonic the Hedgehog Chaos?,"Видеоигра ""Sonic the Hedgehog Chaos"" для консолей Sega Master System и Sega Game Gear была выпущена в 1993 году.",
"Сколько подводных лодок проекта 941 «Акула» было построено в итоге из-за договора ОСВ-1 и финансовых проблем, несмотря на первоначальный план построить 10 единиц?",Из-за договора ОСВ-1 и финансовых проблем всего было построено 6 подводных лодок проекта 941 «Акула».,
В каком году после смерти Сталина стала возможной проверка и критика фактических данных О. Б. Лепешинской?,"После смерти И. В. Сталина в 1953 году началась десталинизация советского общества, что привело к ослаблению идеологического контроля над наукой и возможностью для более объективной оценки научных достижений. Ольга Борисовна Лепешинская была известным советским биологом, которая утверждала, что она наблюдала процесс превращения неспециализированных клеток в специализированные клетки, известный как ""теория клеточной пластичности"". Однако её утверждения были подвергнуты критике со стороны других учёных, которые считали их необоснованными и противоречащими современным научным знаниям о клетке. После смерти Сталина и начала процесса десталинизации, критики Лепешинской получили больше свободы и возможности высказывать свои мнения без страха репрессий.",
В каком возрасте был расстрелян Роман Ефимович Петров?,"Роман Ефимович Петров родился 15 октября 1903 года в селе Ивановка Полтавской губернии Российской империи. Он был известным советским военным летчиком, участником Великой Отечественной войны и дважды Героем Советского Союза. 

Петров погиб во время воздушного боя с немецкими истребителями 27 июля 1943 года над Курской битвой. Ему было всего 39 лет.",
Сколько миллионов долларов пожертвовала семья Краун на строительство и проектирование Фонтана Крауна?,Семья Краун пожертвовала 10 миллионов долларов на строительство и проектирование Фонтанов Крауна в Лос-Анджелесе.,
Кто был матерью Стефана Драгутина?,Мать короля Сербии Стефана Драгутина была **Елена Анжуйская** (серб. Елена Анжујска). Она была дочерью Карла II Анжуйского и Марии Монферратской.,
Как называлась улица Плебанская или Плебанских мельниц после её переименования в 1866 году?,Улица Плебанская или Плебанских мельниц была переименована в улицу Лоскутова в 1866 году.,
"Кто принял на себя всю вину за неудачу в сражении, из-за которой президент осудил его за недостаточную бдительность, а генерал Ли сказал: «Хорошо, хорошо, генерал, похороните этих бедных парней и больше не будем об этом»?","В данном вопросе речь идет о генерале армии Конфедерации Джеймсе Лонгстрит, который был одним из самых способных командиров армии Северной Вирджинии под командованием генерала Роберта Э. Ли во время Гражданской войны в США. В битве при Геттисберге, которая произошла 1-3 июля 1863 года, армия Конфедерации потерпела поражение от армии Союза. После битвы генерал Ли выразил свое недовольство действиями Лонгстрита, обвинив его в недостаточной бдительности и плохой координации с другими командирами. Однако, несмотря на это, Лонгстрит продолжал служить в армии Конфедерации до ее капитуляции в апреле 1865 года.",
"В каком году, согласно османским хроникам, упомянутым И. Узунчаршилы, произошло окончательное завоевание бейлика Карасы?",Окончательное завоевание бейлика Карасы османами произошло в 1390 году.,
"Кому в мае 1954 года Хаггерти предложил идею производства транзисторных приёмников после отказа со стороны RCA, Philco и Emerson?",В мае 1954 года Хаггерти предложил идею производства транзисторных приёмников компании Texas Instruments (TI).,
Кто стал навабом Бенгалии после смерти Аливарди-хана в апреле 1756 года?,После смерти Аливарди-хана в апреле 1756 года на престол взошел его сын Сикандар-шах.,
В каком году был ликвидирован Северный кружок любителей изящных искусств?,Северный кружок любителей изящных искусств был ликвидирован в 1860 году.,
Кем по отношению к фракийскому царю Керсоблепту стал Харидем?,Харидем стал стратегом Фракии и ближайшим советником царя Керсоблепта.,
Какое государство в 1808 году отобрало у Швеции Финляндию по итогам Тильзитского мира и Эрфуртского конгресса?,В 1808 году Россия отобрала у Швеции Финляндию по итогам Тильзитского мира и Эрфуртского конгресса.,
"В какой список игр был включён Overlord (игра, 2007) журналом Eurogamer в декабре 2007 года?","Журналом Eurogamer в декабре 2007 года была включена игра ""Overlord"" в список лучших игр года.",
"Какое произведение Франсиско Гойи стало сюжетом для испанских почтовых марок 1920—1930-х годов, ставших манифестацией «махизма»?","Франсиско Гойя создал множество произведений, которые стали символами испанского искусства и культуры. Однако, если говорить о произведениях, которые были использованы в качестве сюжета для испанских почтовых марок в период с 1920 по 1930-е годы, то одним из наиболее известных является картина ""Маха обнажённая"" (La maja desnuda). Эта работа была создана художником около 1800 года и стала символом испанской живописи эпохи романтизма. В 1920-х годах она была выбрана как один из символов возрождения национального самосознания после периода диктатуры генерала Примо де Риверы. На марках изображалась именно эта картина, что подчёркивало важность культурного наследия Испании и её стремление к восстановлению своей идентичности на международной арене.",
"Кому принадлежат текст и аранжировки композиции «Где-то между», выпущенной Вадимом Самойловым в 2017 году?","Композиция «Где-то между» была выпущена Вадимом Самойловым в 2017 году. Текст песни написал сам Вадим Самойлов, а музыку к ней также создал он. Таким образом, авторство текста и музыки принадлежит самому Вадиму Самойлову.",
"Кто возглавлял делегацию Александрийской церкви, прибывшую в Эфес в начале июня 431 года для участия в Третьем Вселенском соборе?","Делегацию Александрийской церкви на Третьем Вселенском соборе в Эфесе возглавил **Феофил**, архиепископ Александрийский.",
"Кем был осуждён на смертную казнь Пифон, телохранитель Александра Македонского и регент Македонской империи?","Пифон был телохранителем Александра Македонского и регентом Македонской империи после его смерти. После смерти Александра в 323 году до н.э., Пифон стал одним из ключевых фигур в управлении империей. Однако вскоре он был обвинён в заговоре против регента Пердикки и казнён.",
"Как называлась книга 1623 года, в которой впервые были изданы 36 пьес Уильяма Шекспира?","Книга, о которой идет речь, называется **«Первое фолио»** или **«Мемориальное издание пьес Уильяма Шекспира»**. Она была опубликована в 1623 году и содержала 36 пьес Шекспира, включая многие из его самых известных произведений.",
